,N1 (CN per 100 mL),N1 (CN per 100 mL),N1 (CN per 100 mL),Recovery (%),Recovery (%),Recovery (%),PMMoV (CN per mL),PMMoV (CN per mL),PMMoV (CN per mL),N1/PMMoV,N1/PMMoV,N1/PMMoV
3-Aug-2020,40,52,0,2.51,,,96160,,,0.23,0.25,0
4-Aug-2020,0,0,0,0.15,,,55040,,,0,0,0
5-Aug-2020,0,56,0,1.83,,,108800,,,0,0.25,0
7-Aug-2020,0,0,0,,,,11880,,,0,0,0
8-Aug-2020,0,0,0,,,,9624,,,0,0,0
9-Aug-2020,0,40,0,,,,8008,,,0,0.27,0
12-Aug-2020,44,36,72,,,,11496,,,0.27,0.26,0.31
13-Aug-2020,212,120,84,,,,5560,,,0.4,0.36,0.33
14-Aug-2020,32,0,0,0,,,3560,,,0.27,0,0
15-Aug-2020,36,0,0,0,,,4544,,,0.28,0,0
16-Aug-2020,0,0,0,0,,,4408,,,0,0,0
17-Aug-2020,112,320,152,1.14,,,5752,,,0.36,0.43,0.38
18-Aug-2020,400,240,212,0.69,,,2216,,,0.49,0.45,0.44
19-Aug-2020,320,228,328,1.26,,,13776,,,0.41,0.38,0.41
20-Aug-2020,76,72,264,4.34,,,18720,,,0.3,0.3,0.39
21-Aug-2020,104,60,80,0.15,,,27760,,,0.31,0.28,0.3
22-Aug-2020,0,216,164,0.62,,,60000,,,0,0.34,0.33
23-Aug-2020,76,196,280,1.03,,,21040,,,0.3,0.36,0.39
24-Aug-2020,0,72,0,0,,,5336,,,0,0.32,0
25-Aug-2020,0,0,72,0.09,,,5848,,,0,0,0.32
26-Aug-2020,0,64,76,0.1,,,11760,,,0,0.3,0.31
27-Aug-2020,64,80,76,0.1,,,5360,,,0.32,0.33,0.33
28-Aug-2020,80,280,76,0.13,,,5592,,,0.33,0.43,0.33
29-Aug-2020,152,0,40,1.6,,,12928,,,0.36,0,0.26
30-Aug-2020,76,76,140,0.21,,,9024,,,0.32,0.32,0.36
31-Aug-2020,0,132,0,0.09,,,4632,,,0,0.37,0
1-Sep-2020,208,240,252,0.47,,,12400,,,0.38,0.39,0.39
9-Sep-2020,0,108,0,0.25,,,16400,,,0,0.33,0
10-Sep-2020,76,32,40,0.19,,,18000,,,0.3,0.24,0.26
11-Sep-2020,0,0,32,0.09,,,23680,,,0,0,0.24
14-Sep-2020,40,68,72,2.86,,,33440,,,0.25,0.28,0.28
15-Sep-2020,480,520,440,11.89,,,24000,,,0.42,0.43,0.41
16-Sep-2020,44,36,232,2.06,,,32320,,,0.25,0.24,0.36
17-Sep-2020,0,32,0,11.54,,,5136,,,0,0.26,0
18-Sep-2020,32,0,28,6.63,,,7488,,,0.26,0,0.25
19-Sep-2020,192,68,164,6.29,,,5304,,,0.4,0.32,0.39
20-Sep-2020,32,32,32,4.91,,,7792,,,0.26,0.26,0.26
28-Sep-2020,0,0,0,0,,,8488,,,0,0,0
29-Sep-2020,0,0,0,0,,,8336,,,0,0,0
30-Sep-2020,0,0,0,0,,,11672,,,0,0,0
1-Oct-2020,0,0,0,0,,,6416,,,0,0,0
2-Oct-2020,0,0,0,0,,,7352,,,0,0,0
3-Oct-2020,0,0,0,0,,,30560,,,0,0,0
4-Oct-2020,0,0,0,0,,,8624,,,0,0,0
5-Oct-2020,0,0,0,0,,,573,,,0,0,0
6-Oct-2020,0,0,0,0,,,424,,,0,0,0
7-Oct-2020,0,0,0,0,,,346,,,0,0,0
8-Oct-2020,0,0,0,0,,,299,,,0,0,0
10-Oct-2020,0,0,0,0,,,1608,,,0,0,0
11-Oct-2020,0,0,0,0,,,464,,,0,0,0
12-Oct-2020,32,0,0,0.19,,,,,,,,
13-Oct-2020,0,0,44,0.74,,,4688,,,0,0,0.29
14-Oct-2020,72,76,32,2,,,5048,,,0.33,0.33,0.26
15-Oct-2020,40,36,0,0.61,,,8072,,,0.27,0.26,0
16-Oct-2020,0,0,0,1.86,,,5032,,,0,0,0
17-Oct-2020,0,0,0,3.66,,,7152,,,0,0,0
18-Oct-2020,0,28,36,0.88,,,2128,,,0,0.27,0.29
19-Oct-2020,40,40,44,1.52,,,2904,,,0.29,0.29,0.3
20-Oct-2020,0,40,0,0.55,,,3920,,,0,0.29,0
21-Oct-2020,0,0,0,0.16,,,2832,,,0,0,0
22-Oct-2020,0,0,0,0.17,,,3192,,,0,0,0
23-Oct-2020,0,0,0,0.06,,,3048,,,0,0,0
24-Oct-2020,0,40,0,0.21,,,1600,,,0,0.31,0
25-Oct-2020,40,0,0,0.43,,,3880,,,0.29,0,0
26-Oct-2020,0,28,32,2.49,,,4104,,,0,0.26,0.27
27-Oct-2020,0,0,0,0.46,,,3320,,,0,0,0
28-Oct-2020,40,0,32,6.66,,,10944,,,0.27,0,0.25
29-Oct-2020,0,0,0,2.63,,,2624,,,0,0,0
30-Oct-2020,0,0,0,0.9,,,,,,,,
31-Oct-2020,32,0,0,1.08,,,6832,,,0.26,0,0
1-Nov-2020,0,32,0,3.11,,,5232,,,0,0.26,0
2-Nov-2020,0,0,0,0.29,,,1304,,,0,0,0
3-Nov-2020,0,0,0,0.17,,,1872,,,0,0,0
4-Nov-2020,32,28,0,3.86,,,3520,,,0.27,0.26,0
5-Nov-2020,0,36,0,0.24,,,3536,,,0,0.28,0
6-Nov-2020,0,0,0,1.03,,,1552,,,0,0,0
7-Nov-2020,0,0,0,2.79,,,1840,,,0,0,0
8-Nov-2020,0,0,0,0.02,,,2960,,,0,0,0
9-Nov-2020,120,76,32,3.26,,,80640,,,0.3,0.27,0.22
10-Nov-2020,108,196,124,3.34,,,5544,,,0.35,0.4,0.36
11-Nov-2020,192,112,264,0.69,,,22160,,,0.36,0.32,0.38
12-Nov-2020,64,96,0,3.06,,,11152,,,0.3,0.33,0
13-Nov-2020,32,76,100,0.96,,,9120,,,0.25,0.32,0.34
14-Nov-2020,32,96,60,2.11,,,6840,,,0.26,0.34,0.3
15-Nov-2020,400,212,236,5.31,,,6080,,,0.45,0.4,0.41
16-Nov-2020,172,0,224,,,,3056,,,0.41,0,0.43
17-Nov-2020,0,0,0,,,,1448,,,0,0,0
18-Nov-2020,64,68,48,,,,2352,,,0.34,0.34,0.31
19-Nov-2020,64,108,36,,,,2288,,,0.34,0.38,0.29
20-Nov-2020,0,40,84,,,,2344,,,0,0.3,0.36
21-Nov-2020,36,0,0,,,,1600,,,0.3,0,0