Date,WW Flow (LPD),Recovery Efficiency,Mean N1 GC/L,N1 GC/L R1,N1 GC/L R2,N1 GC/L R3,N1 GC/L R1RC,N1 GC/L R2RC ,N1 GC/L R3RC
8/3/2020,3261131,0.0251,307,400,520,ND,15909,20682,ND
8/4/2020,2884482,0.0015,110,ND,ND,ND,ND,ND,ND
8/5/2020,2799311,0.0183,187,ND,560,ND,ND,30625,ND
8/6/2020,na,na,na,na,na,na,na,na,na
8/7/2020,3138105,0.015,110,ND,ND,ND,ND,ND,ND
8/8/2020,2884482,0.015,110,ND,ND,ND,ND,ND,ND
8/9/2020,3240311,0.015,133,ND,400,ND,ND,26718,ND
8/10/2020,na,na,na,na,na,na,na,na,na
8/11/2020,na,na,na,na,na,na,na,na,na
8/12/2020,3579105,0.015,507,440,360,720,29389,24046,48092
8/13/2020,3499612,0.015,1387,2120,1200,840,141603,80153,56107
8/14/2020,3510968,0.0135,107,320,ND,ND,23671,ND,ND
8/15/2020,3548822,0.0152,120,360,ND,ND,23626,ND,ND
8/16/2020,3228955,0.0148,110,ND,ND,ND,ND,ND,ND
8/17/2020,3495826,0.0114,1947,1120,3200,1520,98000,280000,133000
8/18/2020,3240311,0.0069,2840,4000,2400,2120,583333,350000,309167
8/19/2020,3217599,0.0126,2920,3200,2280,3280,254545,181364,260909
8/20/2020,3183530,0.0434,1373,760,720,2640,17500,16579,60789
8/21/2020,3300878,0.0015,813,1040,600,800,700000,403846,538462
8/22/2020,2833379,0.0062,1267,ND,2160,1640,ND,350000,265741
8/23/2020,2857985,0.0103,1840,760,1960,2800,73889,190556,272222
8/24/2020,3662384,0.0132,240,ND,720,ND,ND,54647,ND
8/25/2020,3616959,0.0009,240,ND,ND,720,ND,ND,787500
8/26/2020,3565856,0.001,467,ND,640,760,ND,622222,738889
8/27/2020,3728629,0.001,973,760,760,1400,738889,738889,1361111
8/28/2020,,0.0013,640,1520,ND,400,1209091,ND,318182
8/29/2020,,0.016,1453,800,2800,760,50000,175000,47500
8/30/2020,,0.0021,733,640,800,760,311111,388889,369444
8/31/2020,,0.0009,440,ND,1320,ND,ND,1443750,ND
9/1/2020,,0.0047,2333,2080,2400,2520,443902,512195,537805
9/2/2020,,na,na,na,na,na,na,na,na
9/3/2020,,na,na,na,na,na,na,na,na
9/4/2020,,na,na,na,na,na,na,na,na
9/5/2020,,na,na,na,na,na,na,na,na
9/6/2020,,na,na,na,na,na,na,na,na
9/7/2020,,na,na,na,na,na,na,na,na
9/8/2020,,na,na,na,na,na,na,na,na
9/9/2020,,0.0025,360,0,1080,ND,ND,429545,ND
9/10/2020,,0.0019,493,760,320,400,391176,164706,205882
9/11/2020,,0.0009,107,ND,ND,320,ND,ND,350000
9/12/2020,,na,na,na,na,na,na,na,na
9/13/2020,,na,na,na,na,na,na,na,na
9/14/2020,,0.0286,600,400,680,720,14000,23800,25200
9/15/2020,,0.1189,4800,4800,5200,4400,40385,43750,37019
9/16/2020,,0.0206,1040,440,360,2320,21389,17500,112778
9/17/2020,,0.1154,107,ND,320,ND,ND,2772,ND
9/18/2020,,0.0663,200,320,ND,280,4828,ND,4224
9/19/2020,,0.0629,1413,1920,680,1640,30545,10818,26091
9/20/2020,,0.0491,320,320,320,320,6512,6512,6512
9/21/2020,,na,na,na,na,na,na,na,na
9/22/2020,,na,na,na,na,na,na,na,na
9/23/2020,,na,na,na,na,na,na,na,na
9/24/2020,,na,na,na,na,na,na,na,na
9/25/2020,,na,na,na,na,na,na,na,na
9/26/2020,,na,na,na,na,na,na,na,na
9/27/2020,,na,na,na,na,na,na,na,na
9/28/2020,,na,na,na,na,na,na,na,na
9/29/2020,,na,na,na,na,na,na,na,na
9/30/2020,,na,na,na,na,na,na,na,na
10/1/2020,,na,na,na,na,na,na,na,na
10/2/2020,,na,na,na,na,na,na,na,na
10/3/2020,,na,na,na,na,na,na,na,na
10/4/2020,,na,na,na,na,na,na,na,na
10/5/2020,,na,na,na,na,na,na,na,na
10/6/2020,,na,na,na,na,na,na,na,na
10/7/2020,,na,na,na,na,na,na,na,na
10/8/2020,,na,na,na,na,na,na,na,na
10/10/2020,,na,na,na,na,na,na,na,na
10/11/2020,,na,na,na,na,na,na,na,na
10/12/2020,,0.0019,107,320,ND,ND,169697,ND,ND
10/13/2020,,0.0074,147,ND,ND,440,ND,ND,59459
10/14/2020,,0.02,600,720,760,320,36000,38000,16000
10/15/2020,,0.0061,253,400,360,ND,65728,59155,ND
10/16/2020,,0.0186,110,ND,ND,ND,ND,ND,ND
10/17/2020,,0.0366,110,ND,ND,ND,ND,ND,ND
10/18/2020,,0.0088,213,ND,280,360,ND,31715,40777
10/19/2020,,0.0152,413,400,400,440,26266,26266,28893
10/20/2020,,0.0055,133,ND,400,ND,ND,73298,ND
10/21/2020,,0.0016,110,ND,ND,ND,ND,ND,ND
10/22/2020,,0.0017,110,ND,ND,ND,ND,ND,ND
10/23/2020,,0.0006,110,ND,ND,ND,ND,ND,ND
10/24/2020,,0.0021,133,ND,400,ND,ND,186667,ND
10/25/2020,,0.0043,133,400,ND,ND,93960,ND,ND
10/26/2020,,0.0249,200,ND,280,320,ND,11264,12874
10/27/2020,,0.0046,110,ND,ND,ND,ND,ND,ND
10/28/2020,,0.0666,240,400,ND,320,6009,ND,4807
10/29/2020,,0.0263,110,ND,ND,ND,ND,ND,ND
10/30/2020,,0.009,110,ND,ND,ND,ND,ND,ND
10/31/2020,,0.0108,107,320,ND,ND,29551,ND,ND
11/1/2020,,0.0311,107,ND,320,ND,ND,10275,ND
11/2/2020,,0.0029,110,ND,ND,ND,ND,ND,ND
11/3/2020,,0.0017,110,ND,ND,ND,ND,ND,ND
11/4/2020,,0.0386,200,320,280,ND,8296,7259,ND
11/5/2020,,0.0024,120,ND,360,ND,ND,148235,ND
11/6/2020,,0.0103,110,ND,ND,ND,ND,ND,ND
11/7/2020,,0.0279,110,ND,ND,ND,ND,ND,ND
11/8/2020,,0.0164,110,ND,ND,ND,ND,ND,ND
11/9/2020,,0.0326,760,1200,760,320,36842,23333,9825
11/10/2020,,0.0334,1427,1080,1960,1240,32308,58632,37094
11/11/2020,,0.0069,1893,1920,1120,2640,277686,161983,381818
11/12/2020,,0.0306,533,640,960,ND,20935,31402,ND
11/13/2020,,0.0096,693,320,760,1000,33433,79403,104478
11/14/2020,,0.0211,627,320,960,600,15176,45528,28455
11/15/2020,,0.0531,2827,4000,2120,2360,75269,39892,44409
11/16/2020,,0.0268,1320,1720,ND,2240,64287,ND,83722
11/17/2020,,0.0259,110,ND,ND,ND,ND,ND,ND
11/18/2020,,0.0249,600,640,680,480,25752,27362,19314
11/19/2020,,0.0274,693,640,1080,360,23345,39395,13132
11/20/2020,,0.027,413,ND,400,840,ND,14835,31153
11/21/2020,,0.0294,120,360,ND,ND,12225,ND,ND
11/22/2020,,0.0223,110,ND,ND,ND,ND,ND,ND
11/23/2020,,0.558,573,1400,320,ND,2509,573,ND
11/24/2020,,1,427,680,240,360,680,240,360
11/25/2020,,0.134,213,ND,280,360,ND,2090,2687
11/26/2020,,0.0234,93,ND,ND,280,ND,ND,11951
11/27/2020,,0.0349,213,360,ND,280,10328,ND,8033
11/28/2020,,0.0207,110,ND,ND,ND,ND,ND,ND
11/29/2020,,0.0263,110,ND,ND,ND,ND,ND,ND
11/30/2020,,0.1037,427,400,280,600,3857,2700,5785
